"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of September 2018","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Sep 18 Aug 18 Sep 17","","","%change Sep 18 over
Aug 18 Sep 17",""
"1.0","Wheat","10 Kg","332.5","332.5","312.5","325.0","340.0","331.88","323.75","325.63","327.5","375.0","341.5","325.0","320.0","350.0","325.0","350.0","350.0","334.57","332.41","322.85","0.65","3.63"
"2.0","Wheat Flour, Bag","10 Kg","387.58","383.6","375.0","380.0","385.63","381.88","350.0","370.0","387.5","438.9","420.0","377.5","370.0","391.67","400.0","405.0","390.0","387.9","385.6","367.9","0.6","5.44"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","96.88","89.38","70.0","70.0","74.82","101.5","65.0","87.5","60.0","83.05","85.0","65.0","75.0","82.33","53.75","85.0","60.0","76.72","75.87","70.15","1.12","9.37"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","57.5","60.0","47.5","57.0","60.0","70.0","51.25","47.5","53.73","48.0","52.5","35.5","59.9","57.5","50.0","55.0","54.29","53.99","50.68","0.56","7.12"
"5.0","Bread Plain, Medium Size","Each","45.0","45.0","40.0","40.0","44.29","45.0","45.0","45.0","45.0","45.19","44.0","50.0","45.0","40.0","35.0","40.0","35.0","42.85","42.63","41.12","0.52","4.21"
"6.0","Beef With Bone, (AQ)","1 Kg","438.75","419.58","350.0","350.0","381.96","350.0","400.0","385.0","365.0","453.85","380.0","350.0","350.0","350.83","330.0","380.0","350.0","375.59","374.41","342.54","0.32","9.65"
"7.0","Mutton, Average Quality","1 Kg","920.63","903.33","700.0","700.0","869.64","850.0","850.0","825.0","725.0","872.12","775.0","750.0","790.0","791.67","600.0","775.0","700.0","788.08","782.49","711.55","0.71","10.76"
"8.0","Chicken Farm, Broiler, Live","1 Kg","123.74","113.54","102.0","108.5","101.5","106.0","106.25","117.5","107.0","122.31","119.38","127.5","115.63","113.5","125.75","146.25","155.0","118.31","122.81","121.25","-3.66","-2.42"
"9.0","Milk, Fresh, Unboiled","1 Ltr","102.5","100.83","80.0","80.0","77.21","85.0","70.0","83.33","67.5","94.19","94.0","80.0","90.0","91.67","82.5","95.0","80.0","85.51","85.46","81.91","0.06","4.4"
"10.0","Curd (Dahi)","1 Kg","116.25","112.92","100.0","90.0","90.0","95.0","90.0","97.5","80.0","140.96","135.0","97.5","95.0","105.83","90.0","110.0","90.0","102.12","101.97","98.06","0.15","4.14"
"11.0","Powdered Milk, Nido, Polybag","400 gm","389.74","389.74","389.74","379.49","392.0","389.74","379.48","389.74","389.7","379.49","379.48","389.74","389.74","370.0","379.48","389.74","380.0","385.12","385.12","373.29","0.0","3.17"
"12.0","Eggs Hen, Farm","Dozen","97.77","91.52","93.75","100.0","89.75","93.13","92.5","93.33","93.75","96.51","100.75","102.5","87.5","100.0","100.0","111.25","82.5","95.68","96.42","98.35","-0.77","-2.71"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","231.67","168.75","160.0","183.93","205.0","195.0","184.17","170.0","184.62","160.0","150.0","190.0","220.0","165.0","190.0","196.25","187.91","187.7","182.4","0.11","3.02"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","485.0","485.0","485.0","467.0","480.0","480.0","485.0","490.0","482.5","491.0","491.0","476.5","480.0","485.0","483.0","465.0","460.0","480.65","479.74","468.38","0.19","2.62"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","480.0","480.0","480.0","470.0","470.0","475.0","475.0","480.0","477.5","486.0","486.0","470.0","470.0","480.0","477.5","465.0","455.0","475.12","473.79","461.03","0.28","3.06"
"16.0","Vegetable Ghee (Loose)","1 Kg","154.69","151.67","150.0","150.0","144.36","140.63","143.75","155.0","155.0","155.0","180.0","145.0","130.0","166.15","165.0","150.0","125.0","150.66","150.19","145.94","0.31","3.23"
"17.0","Bananas","Dozen","118.28","83.75","57.5","51.25","71.97","45.0","50.0","65.42","65.0","56.06","50.31","66.25","50.0","75.0","70.0","85.0","67.5","66.37","74.35","68.37","-10.73","-2.93"
"18.0","Pulse Masoor, Washed","1 Kg","129.85","112.92","140.0","150.0","133.93","126.25","141.25","100.83","105.0","99.86","97.5","95.0","92.5","90.0","100.0","120.0","100.0","113.82","113.28","121.59","0.48","-6.39"
"19.0","Pulse Moong, Washed","1 Kg","130.01","114.58","100.0","110.0","123.93","113.75","105.0","100.0","120.0","119.23","113.91","125.0","107.5","105.42","100.0","155.0","100.0","114.31","113.98","123.04","0.29","-7.1"
"20.0","Pulse Mash, Washed","1 Kg","152.66","141.67","140.0","150.0","157.14","145.63","175.0","119.17","125.0","122.31","114.38","120.0","107.5","119.17","122.5","215.0","230.0","144.54","146.27","185.11","-1.18","-21.92"
"21.0","Pulse Gram, Washed","1 Kg","134.85","127.5","110.0","113.75","118.93","111.25","105.0","114.38","120.0","121.73","117.19","115.0","108.75","118.33","115.0","146.25","125.0","118.99","117.07","123.14","1.64","-3.37"
"22.0","Potatoes","1 Kg","42.81","39.59","40.0","41.25","33.39","41.88","35.0","30.0","23.75","25.84","26.25","20.0","21.25","32.5","36.25","30.0","28.5","32.25","33.28","40.58","-3.09","-20.53"
"23.0","Onions","1 Kg","55.94","45.42","40.0","42.5","37.37","40.63","31.88","36.25","41.25","34.26","32.04","29.38","33.13","40.0","42.5","37.5","26.0","38.0","41.93","72.76","-9.37","-47.77"
"24.0","Tomatoes","1 Kg","92.19","79.69","85.0","85.0","82.5","78.75","75.0","70.42","91.25","73.13","65.31","63.75","78.75","61.04","65.0","45.0","40.0","72.46","67.8","102.62","6.87","-29.39"
"25.0","Sugar, Refined","1 Kg","60.5","56.92","54.81","54.5","55.89","54.0","52.63","53.13","55.0","55.2","55.0","52.0","54.63","55.04","55.0","56.0","54.63","54.99","55.59","55.45","-1.08","-0.83"
"26.0","Gur, Average Quality","1 Kg","109.38","98.33","73.75","71.25","95.0","90.0","80.0","79.17","77.5","97.12","79.06","85.0","77.5","86.67","82.5","90.0","85.0","85.72","82.92","85.24","3.38","0.56"
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","13.75","10.0","20.0","10.0","10.0","10.0","12.0","12.0","15.0","10.0","10.0","15.0","12.0","10.0","10.0","11.99","11.68","10.93","2.65","9.7"
"28.0","Red Chilly Powder, Loose","1 Kg","411.25","400.83","300.0","320.0","306.07","380.0","457.5","265.0","290.0","381.59","400.0","265.0","266.25","360.0","380.0","310.0","290.0","340.21","340.21","258.46","0.0","31.63"
"29.0","Garlic","1 Kg","182.19","123.75","101.25","120.0","133.39","110.0","101.25","111.67","110.0","150.48","103.75","115.0","81.25","166.67","127.5","122.5","128.75","122.91","123.75","187.37","-0.68","-34.4"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","205.26","205.26","205.26","205.26","206.0","205.26","205.26","205.26","205.0","205.26","205.26","194.73","205.26","205.26","205.26","205.26","194.73","204.05","203.55","182.42","0.25","11.86"
"31.0","Cooked Beef, Average Hotel","Plate","128.13","117.92","120.0","130.0","115.0","142.5","120.0","100.0","125.0","98.95","95.0","100.0","100.0","120.0","105.0","90.0","140.0","114.56","113.69","95.59","0.77","19.85"
"32.0","Cooked Daal, Average Hotel","Plate","85.0","75.83","45.0","60.0","67.32","55.0","50.0","40.0","60.0","61.59","60.0","70.0","65.0","60.0","50.0","65.0","80.0","61.75","61.65","58.27","0.16","5.97"
"33.0","Tea Prepared, Average Hotel","Cup","22.5","22.5","20.0","20.0","21.43","22.5","22.5","20.0","22.5","23.27","25.0","25.0","27.5","15.0","20.0","21.0","20.0","21.81","21.6","21.19","0.97","2.93"
"34.0","Cigarettes, K-2, 20's","Packet","52.5","52.5","50.0","52.5","52.5","50.0","50.0","50.0","52.5","50.0","50.0","50.0","50.0","57.5","60.0","50.0","50.0","51.76","51.1","50.76","1.29","1.97"
"35.0","Long Cloth","1 mtr","225.0","215.0","172.5","160.0","267.5","237.5","248.75","260.0","250.0","180.0","240.0","337.5","200.0","333.33","250.0","210.0","195.0","234.24","231.81","212.3","1.05","10.33"
"36.0","Shirting","1 mtr","225.63","220.0","185.0","180.0","155.0","125.0","150.0","240.0","120.0","166.15","140.0","175.0","157.5","300.0","147.5","160.0","190.0","178.63","178.63","169.55","0.0","5.36"
"37.0","Lawn","1 mtr","240.0","220.0","217.5","220.0","305.0","280.0","393.34","200.0","383.5","415.0","280.0","384.0","366.66","393.0","235.0","200.0","165.0","288.12","287.59","255.77","0.18","12.65"
"38.0","Georgette","1 mtr","165.0","162.92","160.0","140.0","135.0","160.0","140.0","105.0","110.0","121.54","120.0","150.0","130.0","123.33","100.0","105.0","117.5","132.08","132.08","125.68","0.0","5.09"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","179.09","0.0","11.12"
"41.0","Sandal Bata (Ladies)","Pair","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","502.39","0.0","19.23"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","","128.7","128.7","128.7","0.0","0.0"
"44.0","Kerosene Oil","1 Ltr","137.5","135.0","120.0","125.0","125.0","118.0","120.0","115.0","130.0","133.37","125.0","115.0","140.0","118.33","110.0","96.0","100.0","121.36","122.37","78.88","-0.83","53.85"
"45.0","Firewood Whole","40 Kg","787.5","741.67","750.0","700.0","764.29","600.0","550.0","663.33","625.0","663.46","550.0","400.0","450.0","729.17","500.0","650.0","550.0","627.91","626.25","609.11","0.27","3.09"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","170.0","155.0","170.0","165.0","180.0","165.0","175.0","180.0","200.0","155.0","180.0","180.0","170.0","180.0","150.0","171.18","171.18","168.24","0.0","1.75"
"47.0","Washing Soap, (Nylon), (SN)","Cake","30.0","30.0","40.0","22.0","40.86","25.0","40.0","22.0","20.0","14.0","30.0","26.0","30.0","20.0","22.5","30.0","40.0","28.37","28.08","25.91","1.03","9.49"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","3.0","2.5","3.0","3.0","2.5","2.0","2.0","2.5","3.0","2.0","3.0","2.0","1.5","2.35","2.35","2.21","0.0","6.33"
"49.0","Petrol, Super","1 Ltr","93.27","93.27","93.3","95.1","94.19","93.27","93.4","93.5","94.2","93.27","93.97","93.27","94.3","93.27","95.2","93.14","96.02","93.88","96.22","72.24","-2.43","29.96"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","107.06","107.06","107.1","108.3","106.92","107.06","107.2","107.06","108.05","107.06","107.83","107.1","107.6","107.1","109.0","106.87","110.13","107.56","113.92","78.27","-5.58","37.42"
"51.0","LPG Cylinder, 11kg","Each","1685.0","1660.0","1526.25","1650.0","1498.75","1487.5","1537.5","1540.0","1567.5","1540.0","1622.5","1650.0","1650.0","1677.5","1520.0","1475.0","1512.5","1576.47 1496.61 1181.10","","","5.34","33.47"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","42.0","42.0","40.0","40.0","40.0","42.0","42.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","42.0","42.0","40.71","40.27","41.76","1.09","-2.51"
