"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of August 2015","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Aug 15 Jul 15 Aug 14","","","%change Aug 15 over
Jul 15 Aug 14",""
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","10.0","10.0","10.0","10.0","12.0","12.0","10.0","9.0","10.0","10.0","9.0","10.0","10.0","10.35","10.33","9.87","0.19","4.86"
"28.0","Red Chilly Powder, Loose","1 Kg","311.88","295.83","280.0","260.0","296.96","255.0","286.25","255.0","210.0","306.15","288.13","265.0","242.5","230.0","280.0","310.0","277.5","273.54","270.14","251.42","1.26","8.8"
"29.0","Garlic","1 Kg","207.5","178.02","158.75","148.75","171.25","140.0","145.0","150.0","145.0","159.62","171.88","130.0","126.25","162.5","149.38","123.75","130.0","152.8","146.4","135.91","4.37","12.43"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","167.37","172.1","176.84","176.84","176.84","176.84","176.84","176.84","176.84","170.0","167.37","176.84","167.37","176.84","158.21","156.31","156.31","170.98","156.47","124.21","9.27","37.65"
"31.0","Cooked Beef, Average Hotel","Plate","90.63","88.33","62.5","62.5","78.04","75.0","100.0","70.0","66.25","71.54","72.5","100.0","70.0","116.67","90.0","80.0","140.0","84.35","84.02","82.0","0.39","2.87"
"32.0","Cooked Daal, Average Hotel","Plate","65.0","58.33","35.0","32.5","51.07","42.5","40.0","40.0","41.25","53.08","46.25","50.0","60.0","60.0","47.5","60.0","60.0","49.56","49.19","47.48","0.75","4.38"
"33.0","Tea Prepared, Average Hotel","Cup","20.0","20.0","17.5","17.5","19.93","20.0","20.0","20.0","15.0","18.62","20.0","20.0","22.5","15.0","15.0","21.0","20.0","18.94","18.94","18.48","0.0","2.49"
"34.0","Cigarettes, K-2, 20's","Packet","55.0","55.0","55.0","55.0","52.0","50.0","60.0","52.0","52.0","55.0","55.0","55.0","55.0","55.0","48.5","60.0","60.0","54.68","54.65","45.12","0.05","21.19"
"35.0","Long Cloth","1 mtr","205.0","195.0","137.5","135.0","247.14","237.5","235.0","250.0","180.0","170.0","210.0","230.0","200.0","300.0","150.0","170.0","190.0","202.48","202.48","199.39","0.0","1.55"
"36.0","Shirting","1 mtr","182.5","175.0","175.0","175.0","118.57","125.0","140.0","210.0","115.0","166.15","130.0","120.0","130.0","283.33","145.0","160.0","190.0","161.21","161.03","156.18","0.11","3.22"
"37.0","Lawn","1 mtr","240.0","220.0","205.0","205.0","261.07","240.0","360.0","150.0","150.0","360.0","240.0","280.0","333.0","360.0","182.5","180.0","165.0","243.03","243.03","239.15","0.0","1.62"
"38.0","Georgette","1 mtr","155.0","152.5","132.5","130.0","110.54","160.0","150.0","105.0","110.0","114.62","110.0","125.0","130.0","110.0","97.5","105.0","95.0","123.1","123.1","121.63","0.0","1.21"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","0.0","0.0"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","","124.18","","124.18","124.18","124.18","0.0","0.0"
"44.0","Kerosene Oil","1 Ltr","102.5","102.5","80.5","91.0","72.0","75.0","80.63","81.0","83.0","101.85","92.0","82.5","105.0","88.67","90.0","71.0","72.0","86.54","91.12","118.58","-5.03","-27.02"
"45.0","Firewood Whole","40 Kg","787.5","741.67","700.0","675.0","802.5","600.0","475.0","555.0","620.0","556.15","425.0","400.0","390.0","661.67","490.0","525.0","450.0","579.68","580.03","554.39","-0.06","4.56"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","155.0","155.0","170.0","162.5","171.25","165.0","175.0","170.0","170.0","155.0","175.0","180.0","160.0","180.0","150.0","166.4","166.21","165.15","0.11","0.76"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","19.5","20.0","20.0","22.5","30.0","30.0","24.35","24.35","24.24","0.0","0.45"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","1.0","2.5","2.5","2.0","2.5","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.5","1.94","1.92","1.65","1.04","17.58"
"49.0","Petrol, Super","1 Ltr","77.04","77.03","77.2","78.0","77.11","77.04","77.47","77.95","78.2","77.04","77.51","77.1","78.4","77.03","80.4","77.07","77.07","77.57","78.51","109.46","-1.2","-29.13"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","85.37","85.35","85.6","86.9","85.41","85.37","85.85","85.9","86.55","85.37","86.0","85.4","86.8","85.35","88.3","85.45","85.45","85.91","87.97","110.82","-2.34","-22.48"
"51.0","LPG Cylinder, 11kg","Each","1207.5","1187.5","873.75","990.0","880.0","968.75","1000.0","880.0","990.0","880.0","880.0","1100.0","998.25","1100.0","976.25","1156.25","1087.5","1009.16","1064.94","1341.28","-5.24","-24.76"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","37.0","37.0","37.0","37.0","36.0","36.25","37.0","37.0","37.0","36.0","36.0","37.0","36.0","37.0","36.0","36.0","36.0","36.54","36.47","35.99","0.19","1.53"
