"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of August 2014","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
14 Jul 14","Aug
Aug 13","","%change Aug 14 over
Jul 14 Aug 13",""
"1.0","Wheat","10 Kg","355.0","355.0","337.5","350.94","344.38","344.38","346.85","350.0","340.0","340.0","355.0","340.0","312.5","380.0","334.06","385.0","400.0","351.21","344.87","349.8","1.84","0.4"
"2.0","Wheat Flour, Bag","10 Kg","407.97","394.77","399.38","399.38","398.75","370.0","386.88","390.0","405.0","444.62","420.0","390.0","378.75","410.52","381.25","410.0","440.0","401.6","386.15","395.53","4.0","1.53"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","86.25","80.83","70.0","70.0","79.29","81.25","67.5","77.5","62.5","76.54","77.5","75.0","80.0","78.75","52.5","85.0","60.0","74.14","74.15","73.81","-0.01","0.45"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","62.5","60.83","50.0","52.5","63.63","65.0","52.5","41.0","52.5","61.54","50.0","52.5","35.0","49.0","77.5","45.0","55.0","54.47","54.56","53.69","-0.16","1.45"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","39.5","35.21","35.0","37.5","35.0","40.66","40.61","36.46","0.12","11.52"
"6.0","Beef With Bone, (AQ)","1 Kg","321.25","317.5","280.0","280.0","328.57","275.0","275.0","293.33","265.0","336.15","300.0","290.0","290.0","273.33","270.0","380.0","300.0","298.54","292.61","277.32","2.03","7.65"
"7.0","Mutton, Average Quality","1 Kg","658.57","658.33","600.0","600.0","654.46","600.0","537.5","593.33","562.5","636.15","575.0","535.0","580.0","585.83","480.0","600.0","500.0","585.69","580.07","546.83","0.97","7.11"
"8.0","Chicken Farm, Broiler, Live","1 Kg","157.07","143.33","135.75","138.25","131.11","138.75","140.75","149.79","148.0","179.81","163.75","174.0","161.88","156.0","181.13","182.5","213.75","158.57","165.03","171.13","-3.91","-7.34"
"9.0","Milk, Fresh, Unboiled","1 Ltr","87.5","83.33","77.5","70.0","68.04","70.0","60.0","73.33","60.0","84.0","78.67","75.0","80.0","72.5","72.5","90.0","80.0","75.43","75.02","68.3","0.55","10.44"
"10.0","Curd (Dahi)","1 Kg","102.5","93.75","88.5","80.0","79.29","80.0","74.0","83.33","70.0","120.0","106.0","86.25","95.0","79.69","82.5","100.0","82.5","88.43","87.95","79.87","0.55","10.72"
"11.0","Powdered Milk, Nido, Polybag","400 gm","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","338.75","325.0","350.0","347.87","347.47","290.0","0.12","19.96"
"12.0","Eggs Hen, Farm","Dozen","106.22","100.0","104.88","102.5","100.29","105.5","100.0","101.67","98.0","110.97","111.56","112.0","108.75","97.71","102.5","91.25","97.5","103.02","88.82","85.85","15.99","20.0"
