"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of April 2017","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Apr 17 Mar 17 Apr 16","","","%change Apr 17 over
Mar 17 Apr 16",""
"1.0","Wheat","10 Kg","351.25","351.25","347.5","356.25","356.25","340.0","325.0","310.63","311.25","360.0","313.75","318.75","316.25","350.0","341.25","350.0","337.5","337.46","349.63","337.59","-3.48","-0.04"
"2.0","Wheat Flour, Bag","10 Kg","389.69","384.17","376.25","376.25","376.5","355.0","345.0","358.75","367.5","434.2","408.75","365.63","360.0","379.59","386.25","400.0","386.25","379.4","386.74","383.03","-1.9","-0.95"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","85.0","78.13","50.0","55.0","70.18","80.0","60.0","75.84","55.0","73.08","75.0","65.0","67.5","71.67","51.0","67.5","57.5","66.91","65.19","59.73","2.64","12.02"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","52.71","50.0","47.5","57.0","55.0","50.0","40.0","47.5","44.58","45.0","52.5","36.0","46.67","60.0","50.0","50.0","49.67","49.4","46.2","0.55","7.51"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","45.0","35.0","35.0","40.0","35.0","41.12","41.12","40.82","0.0","0.73"
"6.0","Beef With Bone, (AQ)","1 Kg","352.5","350.0","300.0","300.0","344.29","350.0","315.0","350.0","300.0","390.0","325.0","325.0","310.0","313.33","300.0","400.0","320.0","332.07","331.77","318.01","0.09","4.42"
"7.0","Mutton, Average Quality","1 Kg","793.13","776.46","650.0","650.0","805.36","700.0","700.0","700.0","600.0","742.31","684.38","650.0","650.0","650.0","522.5","700.0","575.0","679.36","672.5","636.78","1.02","6.69"
"8.0","Chicken Farm, Broiler, Live","1 Kg","171.51","153.75","156.5","162.5","154.25","159.38","156.25","166.46","158.0","186.82","174.22","172.5","168.13","166.75","161.88","181.25","203.75","167.88","172.7","185.2","-2.79","-9.35"
"9.0","Milk, Fresh, Unboiled","1 Ltr","99.38","96.25","80.0","70.0","77.21","80.0","67.5","78.33","67.5","85.0","84.0","80.0","80.0","85.0","80.0","90.0","80.0","81.19","80.82","78.5","0.46","3.43"
"10.0","Curd (Dahi)","1 Kg","113.13","107.92","90.0","80.0","83.04","95.0","80.0","90.83","80.0","127.79","115.0","95.0","95.0","97.5","87.5","100.0","90.0","95.75","94.76","92.48","1.04","3.54"
"11.0","Powdered Milk, Nido, Polybag","400 gm","389.74","389.74","358.97","358.97","389.74","389.74","358.98","358.97","358.97","369.23","369.23","372.47","346.66","365.0","366.66","389.74","389.74","371.91","373.93","379.54","-0.54","-2.01"
"12.0","Eggs Hen, Farm","Dozen","86.96","79.31","81.0","82.5","78.0","82.5","80.0","78.13","77.0","81.69","79.25","84.0","74.88","90.0","93.75","101.25","98.75","84.06","90.15","73.33","-6.76","14.63"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","220.0","150.0","160.0","183.93","200.0","175.0","177.5","170.0","168.85","150.0","137.5","190.0","220.0","182.5","190.0","170.0","181.49","181.81","178.98","-0.18","1.4"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","475.0","475.0","475.0","467.0","465.0","465.0","475.0","475.0","475.0","468.0","465.0","468.0","460.0","470.0","475.0","445.0","440.0","466.94","466.07","454.35","0.19","2.77"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","470.0","470.0","470.0","452.0","460.0","460.0","470.0","470.0","470.0","453.0","460.0","453.0","450.0","460.0","470.0","440.0","445.0","460.18","459.24","445.12","0.2","3.38"
"16.0","Vegetable Ghee (Loose)","1 Kg","151.25","147.5","145.0","148.75","140.14","138.75","140.5","144.5","148.75","145.48","175.0","145.0","130.0","158.33","162.5","130.0","130.0","145.97","145.72","138.99","0.17","5.02"
"17.0","Bananas","Dozen","141.88","125.21","84.38","90.0","113.31","72.5","60.0","96.67","60.0","74.38","65.0","80.0","75.38","84.59","72.81","70.0","65.0","84.18","82.37","78.33","2.2","7.47"
"18.0","Pulse Masoor, Washed","1 Kg","153.13","136.67","140.0","160.0","138.93","120.0","158.75","110.0","120.0","117.41","116.88","110.0","100.0","104.42","120.0","120.0","141.25","127.5","130.04","147.57","-1.95","-13.6"
"19.0","Pulse Moong, Washed","1 Kg","151.88","129.58","120.0","150.0","131.97","120.0","120.0","112.5","120.0","117.93","126.41","130.0","140.0","105.48","101.88","137.5","168.75","128.46","130.12","158.24","-1.28","-18.82"
"20.0","Pulse Mash, Washed","1 Kg","203.13","179.58","195.0","182.5","228.93","210.0","225.0","163.33","182.5","153.56","159.53","170.0","174.88","177.67","195.0","196.25","240.0","190.4","188.72","268.74","0.89","-29.15"
"21.0","Pulse Gram, Washed","1 Kg","151.25","136.67","113.75","125.0","126.52","120.0","125.0","120.42","130.0","126.2","122.5","122.5","121.88","124.17","115.0","145.0","152.5","128.14","129.96","131.07","-1.4","-2.24"
"22.0","Potatoes","1 Kg","46.1","36.35","25.0","30.0","31.96","27.5","23.75","29.59","27.5","28.39","28.13","25.0","25.38","31.88","26.88","26.25","29.5","29.36","28.77","18.8","2.05","56.17"
"23.0","Onions","1 Kg","53.75","43.34","32.5","37.5","35.22","31.88","26.88","28.96","31.25","28.56","25.16","24.69","28.13","35.21","30.0","30.0","28.5","32.44","33.5","37.64","-3.16","-13.82"
"24.0","Tomatoes","1 Kg","85.0","67.08","65.0","62.5","61.25","60.63","47.5","56.79","51.25","54.04","42.74","48.75","36.88","60.42","47.5","60.0","63.75","57.12","80.66","38.81","-29.18","47.18"
"25.0","Sugar, Refined","1 Kg","65.81","61.51","60.0","60.0","63.6","59.25","57.25","57.63","59.0","61.04","59.19","57.63","58.88","59.67","58.5","61.0","59.5","59.97","60.41","63.76","-0.73","-5.94"
"26.0","Gur, Average Quality","1 Kg","109.38","98.33","80.0","80.0","93.21","75.0","70.0","70.0","57.5","90.19","81.25","73.06","75.63","95.0","95.0","95.0","80.0","83.44","84.21","85.63","-0.91","-2.56"
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","10.0","10.0","10.0","10.0","12.0","12.0","12.0","10.0","10.0","10.0","12.0","10.0","10.0","10.71","10.71","10.47","0.0","2.29"
"28.0","Red Chilly Powder, Loose","1 Kg","300.0","254.17","240.0","280.0","223.93","280.0","280.0","237.5","225.0","295.67","265.0","250.0","248.75","236.67","265.0","310.0","300.0","264.22","266.68","275.96","-0.92","-4.25"
