"","","","","","","Average Monthly Prices of Essential Items November 2012","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-dar","Aver-age"
"32.0","Cooked Daal, Average Hotel","Plate","46.25","42.05","30.0","32.5","41.79","37.5","32.5","30.0","32.5","35.0","37.5","35.0","40.0","60.0","40.5","51.0","50.0","39.65"
"33.0","Tea Prepared, Average Hotel","Cup","15.0","15.0","15.0","15.0","14.57","15.0","15.0","15.0","14.0","15.0","14.6","15.0","20.0","15.0","11.45","18.0","15.0","15.15"
"34.0","Cigarettes, K-2, 20's","Packet","32.0","32.0","32.0","32.0","32.5","32.0","33.0","32.0","32.0","33.0","32.0","33.0","33.0","32.0","32.0","32.4","30.0","32.17"
"35.0","Long Cloth","1 mtr","132.5","126.2","97.5","115.0","187.5","95.0","175.0","225.0","135.0","140.0","170.0","150.0","184.0","150.0","115.0","119.0","140.75","144.56"
"36.0","Shirting","1 mtr","125.0","122.9","140.0","125.0","87.5","125.0","130.0","130.0","105.0","106.15","116.0","85.0","90.0","156.67","100.0","125.0","150.25","118.79"
"37.0","Lawn","1 mtr","146.25","135.75","162.5","125.0","192.5","125.0","170.0","130.0","136.5","160.0","210.0","225.0","194.5","250.0","130.0","112.0","115.0","160.0"
"38.0","Georgette","1 mtr","115.0","112.9","105.0","105.0","82.86","95.0","129.0","80.0","100.0","91.15","100.0","85.0","120.0","85.0","92.5","90.0","94.5","98.99"
"39.0","Sandal Bata (Gents)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0"
"41.0","Sandal Bata (Ladies)","Pair","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0"
"42.0","Electricity Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","0.0","116.0","0.0","116.0"
"44.0","Kerosene Oil","1 Ltr","123.4","123.4","120.8","123.4","110.1","117.0","109.0","124.0","120.6","118.89","118.4","116.5","130.0","118.57","121.65","110.4","120.0","119.18"
"45.0","Firewood Whole","40 kg","582.0","529.68","595.0","560.0","596.79","525.0","390.0","487.0","500.0","447.23","340.4","340.0","400.0","586.67","396.0","525.0","450.0","485.34"
"46.0","Energy Saver (14 watts)","Each","157.5","157.5","145.0","145.0","145.0","150.0","145.0","150.0","150.0","149.0","150.0","145.0","140.0","160.0","145.0","142.0","150.0","148.59"
"47.0","Washing Soap, 200-250 g, Specify Name","Cake","19.0","19.0","16.0","17.0","36.0","20.0","35.4","22.0","16.4","14.0","24.0","18.0","20.0","17.0","17.3","18.0","25.0","20.83"
"48.0","Match Box, Regular","Each","1.0","1.0","1.0","1.0","1.0","1.0","1.5","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.09"
"49.0","Petrol, Super","1 Ltr","102.03","102.02","102.14","104.24","102.06","102.04","103.3","102.76","104.49","102.04","103.3","102.14","103.34","102.14","105.64","102.04","104.94","102.98"
"50.0","Hi Speed Diesel (HSP)","1 Ltr","112.2","112.18","112.4","114.1","112.24","112.2","114.02","112.8","114.2","112.2","113.06","112.3","113.66","112.2","114.9","112.2","114.8","113.04"
"51.0","LPG Cylinder, 11kg","Each","1586.0","1571.2","1540.0","1507.0","1529.0","1562.88","1610.0","1612.0","1672.0","1386.0","1474.0","1485.0","1518.0","1584.0","1541.0","1530.0","1510.0","1542.24"
"52.0","Telephone Local Call Charges, 3 Minutes","P/Call","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59"
"53.0","Soap, LifeBuoy","Each","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0"
