"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of April 2015","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
15 Mar 15","Apr
Apr 14","","%change Apr 15 over
Mar 15 Apr 14",""
"27.0","Salt Powder, Loose, Lahori","1 Kg","11.0","10.83","10.0","10.0","10.0","10.0","10.0","9.0","10.0","12.0","10.0","9.0","10.0","10.0","8.0","10.0","10.0","9.99","9.99","9.65","0.0","3.52"
"28.0","Red Chilly Powder, Loose","1 Kg","307.5","295.83","280.0","260.0","277.14","265.0","265.0","247.0","210.0","300.77","286.25","253.0","229.5","230.0","254.5","290.0","200.0","261.85","263.65","224.75","-0.68","16.51"
"29.0","Garlic","1 Kg","185.0","160.0","144.0","148.0","142.71","123.75","113.0","140.5","140.0","154.15","142.5","128.0","105.0","126.66","156.0","133.0","150.0","140.72","142.28","134.75","-1.1","4.43"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","149.47","149.47","149.47","149.47","149.47","149.47","149.47","149.47","149.47","149.47","141.05","138.95","141.05","149.47","149.47","131.58","149.47","146.81","136.9","142.75","7.24","2.84"
"31.0","Cooked Beef, Average Hotel","Plate","88.75","85.83","61.5","62.5","78.04","75.0","95.0","70.0","65.0","71.54","68.0","100.0","70.0","116.67","90.0","80.0","140.0","83.4","83.14","80.31","0.31","3.85"
"32.0","Cooked Daal, Average Hotel","Plate","62.5","55.83","35.0","32.5","51.07","42.5","40.0","40.0","40.0","53.08","43.25","50.0","60.0","60.0","47.5","60.0","60.0","49.01","48.9","46.28","0.22","5.9"
"33.0","Tea Prepared, Average Hotel","Cup","20.0","20.0","17.5","17.5","19.93","20.0","18.8","20.0","15.0","18.62","20.0","20.0","22.5","15.0","15.0","21.0","20.0","18.87","18.86","17.78","0.05","6.13"
"34.0","Cigarettes, K-2, 20's","Packet","45.0","45.0","45.0","50.0","45.0","45.0","48.0","43.0","45.0","45.0","46.0","45.0","45.0","45.0","45.0","50.0","40.0","45.41","45.41","38.65","0.0","17.49"
"35.0","Long Cloth","1 mtr","205.0","195.0","137.5","135.0","247.14","237.5","225.0","250.0","180.0","170.0","210.0","230.0","200.0","300.0","150.0","170.0","190.0","201.89","201.3","181.42","0.29","11.28"
"36.0","Shirting","1 mtr","182.5","175.0","175.0","175.0","118.57","125.0","140.0","210.0","115.0","143.08","130.0","120.0","130.0","283.33","140.0","160.0","190.0","159.56","159.15","149.22","0.26","6.93"
