"","","","","","","","Average Monthly Prices of 53 Items for the month of May 2016","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
May 16 Apr 16 May 15","","","%change May 16 over
Apr 16 May 15",""
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","10.0","10.0","10.0","10.0","12.0","12.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.47","10.47","10.02","0.0","4.49"
"28.0","Red Chilly Powder, Loose","1 Kg","326.25","313.33","265.0","275.0","282.14","255.0","295.0","255.0","225.0","326.25","282.5","265.0","235.0","230.0","262.5","310.0","300.0","276.65","275.96","265.02","0.25","4.39"
"29.0","Garlic","1 Kg","276.72","225.0","183.75","208.75","196.07","201.25","200.0","192.92","190.0","173.94","170.63","163.75","131.25","165.0","246.25","185.0","247.5","197.52","236.87","148.33","-16.61","33.16"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","157.89","157.89","157.89","157.89","157.89","157.89","157.89","157.89","157.89","157.89","157.9","158.0","157.89","157.89","157.89","157.89","157.89","157.9","157.9","148.54","0.0","6.3"
"31.0","Cooked Beef, Average Hotel","Plate","102.5","99.17","62.5","62.5","85.0","75.0","100.0","80.0","70.0","75.58","75.94","100.0","100.0","120.0","100.0","90.0","140.0","90.48","89.61","83.73","0.97","8.06"
"32.0","Cooked Daal, Average Hotel","Plate","73.75","70.83","40.0","40.0","64.2","47.5","40.0","40.0","50.0","53.08","51.88","50.0","65.0","60.0","47.5","65.0","80.0","55.22","54.08","49.19","2.11","12.26"
"33.0","Tea Prepared, Average Hotel","Cup","20.0","20.0","20.0","17.5","20.0","20.0","20.0","20.0","15.0","21.73","20.0","20.0","22.5","15.0","20.0","21.0","20.0","19.57","19.57","18.89","0.0","3.6"
"34.0","Cigarettes, K-2, 20's","Packet","60.0","60.0","60.0","60.0","60.0","60.0","60.0","60.0","57.0","60.0","60.0","60.0","60.0","60.0","60.0","60.0","65.0","60.12","60.04","45.72","0.13","31.5"
"35.0","Long Cloth, 57"", (SN)","1 mtr","205.0","195.0","137.5","135.0","257.14","237.5","235.0","250.0","180.0","170.0","240.0","230.0","200.0","300.0","157.5","170.0","190.0","205.27","204.43","201.89","0.41","1.67"
"36.0","Shirting, (AQ), (SN)","1 mtr","192.5","185.0","175.0","175.0","138.57","125.0","140.0","210.0","115.0","166.15","140.0","120.0","130.0","283.33","147.5","160.0","190.0","164.3","163.41","159.56","0.54","2.97"
