"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-dar","Average Prices
Jan 17 Dec 16 Jan 16","","","%change Jan 2017 over
Dec 16 Jan 16",""
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","10.0","10.0","10.0","10.0","12.0","12.0","12.0","10.0","10.0","10.0","12.0","10.0","10.0","10.71","10.59","10.47","1.13","2.29"
"28.0","Red Chilly Powder, Loose","1 Kg","307.5","261.67","260.0","280.0","272.14","280.0","295.0","237.5","225.0","311.25","283.75","253.75","261.25","236.67","270.0","310.0","300.0","273.26","274.03","273.34","-0.28","-0.03"
"29.0","Garlic","1 Kg","340.63","315.0","293.75","300.0","310.36","302.5","297.5","290.0","320.0","292.21","308.75","295.0","268.75","310.84","288.75","297.5","295.0","301.56","302.34","234.48","-0.26","28.61"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","178.95","178.95","178.94","178.95","179.0","178.95","178.95","178.95","178.95","178.95","179.19","178.94","178.94","178.95","178.94","178.94","157.89","177.73","175.78","189.47","1.11","-6.2"
"31.0","Cooked Beef, Average Hotel","Plate","107.5","104.17","62.5","62.5","102.86","75.0","100.0","80.0","70.0","83.85","75.94","100.0","100.0","120.0","100.0","90.0","140.0","92.61","92.61","87.89","0.0","5.37"
"32.0","Cooked Daal, Average Hotel","Plate","78.75","75.83","40.0","40.0","67.32","47.5","45.0","40.0","50.0","61.15","51.88","50.0","65.0","60.0","50.0","65.0","80.0","56.91","56.91","53.57","0.0","6.23"
"33.0","Tea Prepared, Average Hotel","Cup","22.5","22.5","20.0","17.5","20.0","21.25","20.0","20.0","15.0","21.73","20.0","25.0","27.5","15.0","20.0","21.0","20.0","20.53","20.28","19.57","1.23","4.91"
"34.0","Cigarettes, K-2, 20's","Packet","70.0","70.0","75.0","65.0","65.0","70.0","65.0","62.0","57.0","70.0","65.0","65.0","62.0","70.0","64.0","70.0","65.0","66.47","65.54","59.46","1.42","11.79"
"35.0","Long Cloth, 57"", (SN)","1 mtr","205.0","195.0","137.5","135.0","257.14","237.5","235.0","250.0","180.0","170.0","240.0","230.0","200.0","300.0","157.5","170.0","195.0","205.57","205.57","202.77","0.0","1.38"
"36.0","Shirting, (AQ), (SN)","1 mtr","192.5","185.0","175.0","175.0","138.57","125.0","140.0","210.0","115.0","166.15","140.0","120.0","130.0","283.33","147.5","160.0","190.0","164.3","164.3","161.94","0.0","1.46"
"37.0","Lawn Printed, (SN)","1 mtr","240.0","220.0","205.0","205.0","281.07","240.0","360.0","150.0","169.0","415.0","280.0","280.0","333.0","360.0","187.5","180.0","165.0","251.21","251.21","243.03","0.0","3.37"
"38.0","Georgette, (AQ), (SN)","1 mtr","155.0","152.5","132.5","130.0","120.54","160.0","135.0","105.0","110.0","114.62","120.0","125.0","130.0","120.0","100.0","105.0","95.0","124.13","124.13","123.13","0.0","0.81"
"39.0","Gents Sandal, Bata","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Gents Chappal Spng, Bata","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","180.54","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.09","179.09","179.0","0.0","0.05"
"41.0","Ladies Sandal, Bata","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","549.0","506.69","499.0","499.0","499.0","499.0","499.0","499.0","499.0","502.39","502.39","501.94","0.0","0.09"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","","128.7","128.7","128.42","0.0","0.22"
"44.0","Kerosene Oil","1 Ltr","98.75","95.0","75.0","77.0","90.0","69.0","75.0","67.5","68.0","97.12","80.0","69.5","85.0","86.67","85.0","55.0","50.0","77.86","77.6","79.64","0.34","-2.24"
"45.0","Firewood Whole","40 Kg","787.5","741.67","700.0","700.0","720.0","600.0","500.0","606.67","625.0","644.23","550.0","400.0","450.0","725.0","495.0","631.25","475.0","608.9","607.39","602.99","0.25","0.98"
"46.0","Energy Saver","Each","167.5","167.5","155.0","155.0","170.0","162.5","175.0","165.0","175.0","170.0","190.0","155.0","175.0","180.0","160.0","180.0","150.0","167.79","167.79","166.76","0.0","0.62"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","26.0","30.0","20.0","22.5","30.0","40.0","25.91","25.91","24.74","0.0","4.73"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","2.0","2.5","3.0","2.0","2.5","2.0","2.0","2.5","2.5","2.0","2.5","2.0","1.5","2.18","2.13","1.99","2.35","9.55"
"49.0","Petrol, Super","1 Ltr","67.4","67.4","67.51","67.9","67.52","67.5","67.72","67.47","68.33","67.4","67.73","67.41","69.0","67.41","69.8","67.39","69.67","67.92","67.04","77.17","1.31","-11.99"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","76.5","76.5","76.45","77.6","76.58","76.63","76.88","76.54","77.55","76.5","77.03","76.49","78.0","76.51","79.65","76.5","79.32","77.13","76.1","81.96","1.35","-5.89"
"51.0","LPG Cylinder, 11kg","Each","1260.00 1237.50 1067.50 1127.50 1093.13 1137.50 1131.25 1150.00 1175.00 1017.50 1072.50 1210.00 1210.00 1320.00 1127.50","","","","","","","","","","","","","","","1325.0","1100.0","1162.46","1150.12","1192.54","1.07","-2.52"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","39.25","39.25","37.0","37.0","37.0","37.0","37.0","37.0","40.0","40.0","39.25","37.0","37.0","37.75","36.0","36.0","36.0","37.62","37.0","35.76","1.68","5.2"
