"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of July 2015","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Jul 15 Jun 15 Jul 14","","","%change Jul 15 over
Jun 15 Jul 14",""
"1.0","Wheat","10 Kg","342.5","342.5","331.0","350.0","336.75","319.0","313.0","308.0","313.25","350.0","300.0","300.0","275.0","310.0","331.0","350.0","398.0","327.65","325.56","344.87","0.64","-4.99"
"2.0","Wheat Flour, Bag","10 Kg","384.5","382.5","382.5","377.5","381.0","350.0","336.0","365.0","360.0","405.08","400.0","365.5","360.0","370.92","388.5","380.0","422.0","377.12","375.64","386.15","0.39","-2.34"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","83.75","79.54","62.5","62.5","71.79","72.5","50.5","70.0","60.0","73.08","75.63","75.0","80.0","68.33","51.0","80.0","55.0","68.89","69.02","74.15","-0.19","-7.09"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","61.25","60.21","47.5","47.5","60.71","62.5","50.0","37.0","52.5","45.42","48.0","52.5","32.0","42.5","52.5","50.0","45.0","49.83","50.17","54.56","-0.68","-8.67"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","40.0","35.0","35.0","40.0","35.0","40.82","40.82","40.61","0.0","0.52"
"6.0","Beef With Bone, (AQ)","1 Kg","321.25","317.5","280.0","280.0","328.57","290.0","275.0","300.0","280.0","346.15","310.0","302.0","296.0","294.0","285.0","400.0","320.0","307.38","304.74","292.61","0.87","5.05"
"7.0","Mutton, Average Quality","1 Kg","696.5","682.33","600.0","600.0","705.35","600.0","575.0","600.0","577.5","665.38","600.0","559.0","600.0","610.0","510.0","600.0","530.0","606.53","602.17","580.07","0.72","4.56"
"8.0","Chicken Farm, Broiler, Live","1 Kg","189.59","174.82","170.2","171.4","164.96","171.3","174.0","185.5","176.8","203.46","196.0","200.0","194.0","190.4","195.8","208.0","225.0","187.72","184.81","165.03","1.57","13.75"
"9.0","Milk, Fresh, Unboiled","1 Ltr","90.63","86.67","77.5","70.0","77.21","70.0","65.0","75.0","60.0","84.0","80.0","75.0","80.0","82.5","72.5","90.0","80.0","77.41","77.34","75.02","0.09","3.19"
"10.0","Curd (Dahi)","1 Kg","105.63","97.5","88.5","80.0","83.04","80.0","80.0","90.0","70.0","120.0","106.0","90.0","95.0","87.5","82.5","100.0","90.0","90.92","90.76","87.95","0.18","3.38"
"11.0","Powdered Milk, Nido, Polybag","400 gm","360.0","360.0","360.0","360.0","360.0","350.0","360.0","360.0","360.0","360.0","360.0","360.0","350.0","350.0","350.0","350.0","350.0","356.47","355.88","347.47","0.17","2.59"
"12.0","Eggs Hen, Farm","Dozen","91.8","86.7","90.0","89.0","87.09","88.4","88.2","87.33","86.4","90.26","89.6","92.4","84.0","90.0","93.5","104.0","91.0","89.98","82.98","88.82","8.44","1.31"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","220.0","145.0","150.0","176.43","200.0","170.0","168.33","159.0","161.54","140.0","128.2","200.0","226.67","189.0","190.0","180.0","179.07","178.45","185.42","0.35","-3.42"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","445.0","445.0","467.0","467.0","465.0","465.0","440.0","465.0","445.0","468.0","469.0","493.0","490.0","455.0","475.0","467.0","485.0","465.06","467.0","540.29","-0.42","-13.92"
